Timestamp,Directorate,Division_Section,Role_position,Data_Types,Software_used,Data collection tools in use ,Databases,Accuracy,Completeness,Consistency,Reliability,Data_Integrity,Data_security,Data_protection,Analytical_outputs,Analytical_support,Data_utilization,Staff_on_data,Staff_of_number,Level_of_expertise,Training_needed,Data_security_compliance_Challenges,Documented_policies_SOPs,Awareness_of Data Sharing_policy,Awareness of_DPAct,Doc_SOPs,Gaps_governance_security,Support_from_DS&AS,Opportunities_for_collaboration,comments_or_suggestions
10/6/2025 13:06:28,Corporate Services (CSD),Corporate Communication,Administration Officer,Administrative,None,Paper-based forms,None/Don't Know,4(Good),4(Good),4(Good),4(Good),3(Moderate),3(Moderate),4(High),"Standard reports  Docs/PDFs, Ad-hoc Analyses / As needed",Ad-hoc / As needed,Maybe,Yes,4,Beginner,"Data management and governance, Project management and coordination, Communication and knowledge translation",Limited infrastructure or secure storage systems,Yes,Maybe,No,Maybe,Backup systems,"Create an automated platform to streamline meeting room bookings managed by the section but accessible to all staff.

Avail storage eg. cloud storage for storage of photos and videos managed by the audio visual team",No,No
10/6/2025 13:11:15,Research & Product Development (RPD),Evolutionary Ecology Conservation &Ecosystem Health,Research Scientist,Biological,"R, Excel","ODK/KOBO Collect, Paper-based forms","ODK, None/Don't Know",5(Excellent),5(Excellent),4(Good),4(Good),1(Not Protected),2(Low),1(Not Protected),Standard reports  Docs/PDFs,Ad-hoc / As needed,Yes,No,,Intermediate,"Data analysis and statistical modelling, Data visualization and reporting, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",Maybe,No,Maybe,Maybe,"Backup systems, Staff training and sensitization",Have somebody in the section who understands ecological data,No,No support is received especially for small projects without big budget. These projects also need to be considered
10/6/2025 15:44:12,Research & Product Development (RPD),Reproductive health & Biology,Director,All of the above,Excel,Excel,MS Access,4(Good),4(Good),4(Good),4(Good),4(High),4(High),4(High),Ad-hoc Analyses / As needed,Monthly,Maybe,Yes,All scientists,Intermediate,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",Maybe,Yes,Yes,Yes,"Backup systems, Access control / permissions, Staff training and sensitization",Provide training,Research data analysis,Organize for training for staff
10/6/2025 16:07:53,Research & Product Development (RPD),Reproductive health & Biology,Assistant Research Scientist,Biological,Python,None,None/Don't Know,3(Fair),3(Fair),3(Fair),3(Fair),3(Moderate),3(Moderate),2(Low),Dashboards / Visualisations,Ad-hoc / As needed,Yes,No,,Beginner,"Data analysis and statistical modelling, Data management and governance, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",Yes,No,No,No,"Access control / permissions, Staff training and sensitization",can help us in data analysis,Yes,no
10/6/2025 18:33:09,Research & Product Development (RPD),Planning & Strategy,Deputy Director/HOD,All of the above,Excel,Excel,None/Don't Know,3(Fair),3(Fair),3(Fair),3(Fair),1(Not Protected),1(Not Protected),1(Not Protected),Predictive models / forecasts,Quarterly,Yes,Yes,2,,Data management and governance,"Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures, Lack of understanding of th organizational  structure ",No,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Working as a team when compiling our reports and analying  time,Yes  in  the area of M&E,Staff sensitisation 
10/7/2025 9:45:48,Research & Product Development (RPD),Infectious Diseases & one health,Research Scientist,Biological,Excel,Excel,Text Based Database,4(Good),4(Good),4(Good),4(Good),3(Moderate),3(Moderate),3(Moderate),Standard reports  Docs/PDFs,Ad-hoc / As needed,Maybe,Yes,,Beginner,,Limited infrastructure or secure storage systems,Maybe,Maybe,Maybe,Maybe,Backup systems,To secure data,None,No
10/7/2025 15:14:11,Research & Product Development (RPD),Infectious Diseases & one health,Assistant Research Scientist,Biological,"R, SPSS, GraphPad, Excel","ODK/KOBO Collect, Excel, Paper-based forms","ODK, Text Based Database",5(Excellent),5(Excellent),5(Excellent),5(Excellent),2(Low),2(Low),2(Low),"Standard reports  Docs/PDFs, Exploratory models",Quarterly,Yes,No,non,Beginner,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Inadequate staff training on data protection, Risks of data breaches or unauthorized access, Limited resources for implementing security measures",No,No,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Sample size determination. DAta presentation and reporting data management and access control.,Yes,Training on data management and data analysis using our own data.
10/7/2025 22:02:18,Research & Product Development (RPD),Infectious Diseases & one health,Assistant Director/Head of Section,Biological,"R, GraphPad, Excel",Excel,Text Based Database,4(Good),4(Good),4(Good),3(Fair),3(Moderate),3(Moderate),3(Moderate),"Dashboards / Visualisations, Standard reports  Docs/PDFs, Ad-hoc Analyses / As needed",Ad-hoc / As needed,Yes,Yes,not sure,Beginner,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",Maybe,No,Maybe,Maybe,"Backup systems, Access control / permissions, Staff training and sensitization",By engaging with staff  and students in our section.,Yes. We have upcoming projects and collaborations with institutions other than KIPRE. data sharing and data security is a key component of the ongoing negotiations. ,None for now
10/8/2025 12:23:29,Research & Product Development (RPD),Non-Communicable Diseases,Research Scientist,Biological and clinical ,"SPSS, Excel",Excel,None/Don't Know,4(Good),4(Good),4(Good),5(Excellent),2(Low),1(Not Protected),1(Not Protected),Exploratory models,Monthly,Maybe,No,4,"Beginner, Not trained as a department ","Machine learning / AI methods, Software tools (e.g., R, Python, SAS, SQL)","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection",No,No,No,No,Staff training and sensitization,Get maximum benefit from accrued data ,Yes,Appropriate survey 
10/8/2025 20:16:56,Research & Product Development (RPD),Reproductive health & Biology,Research Scientist,Clinical,"GraphPad, Excel","Excel, Paper-based forms",None/Don't Know,4(Good),4(Good),4(Good),4(Good),1(Not Protected),1(Not Protected),1(Not Protected),"Standard reports  Docs/PDFs, Ad-hoc Analyses / As needed",Ad-hoc / As needed,Yes,Yes,,Beginner,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation, Bioinformatics ","Inadequate staff training on data protection, Risks of data breaches or unauthorized access",Yes,No,No,Maybe,"Backup systems, Access control / permissions, Staff training and sensitization",Continuous training,Yes ,Please conduct refresher/beginner level training
